Month,Day,DoY,Rg_f,Rg_sqc,Ta_f,Ta_sqc,VPD_f,VPD_sqc,Ts_f,Ts_sqc,Precip,SWC,H_f,H_sqc,LE_f,LE_sqc,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSsqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSsqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNsqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNsqc,GPP_or_ANN
1,1,1,9.12,0.17,23.71,0.17,-9999.00,-9999.00,-9999.00,-9999.00,0.00,-9999.00,22.46,0.15,98.44,0.15,13.20,8.11,-1.09,0.15,14.29,-3.88,0.15,11.99,-2.63,0.15,15.84,-6.66,0.15,14.77
1,2,2,9.12,1.00,23.43,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.79,41.20,9.22,1.00,72.08,1.00,13.01,8.02,1.74,1.00,11.28,-3.82,1.00,11.83,-0.39,1.00,13.40,-5.83,1.00,13.85
1,3,3,13.26,1.00,23.23,1.00,-9999.00,-9999.00,-9999.00,-9999.00,5.97,41.15,20.02,1.00,88.84,1.00,12.88,7.95,-0.16,1.00,13.04,-3.23,1.00,11.18,-0.68,1.00,13.55,-3.62,1.00,11.57
1,4,4,11.44,1.00,23.52,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,41.14,17.04,1.00,80.01,1.00,13.04,8.05,0.53,1.00,12.51,-0.28,1.00,8.33,-0.09,1.00,13.13,-0.15,1.00,8.20
1,5,5,12.80,1.00,23.30,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.19,41.18,18.22,1.00,94.95,1.00,12.23,7.99,-1.04,1.00,13.27,-2.06,1.00,10.05,-2.15,1.00,14.38,-3.16,1.00,11.15
1,6,6,15.06,1.00,24.40,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.05,41.19,23.63,1.00,96.92,1.00,12.75,8.33,-1.28,1.00,14.03,-2.58,1.00,10.91,-2.14,1.00,14.90,-2.84,1.00,11.17
1,7,7,7.26,1.00,22.81,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.06,41.56,-0.38,1.00,54.40,1.00,11.37,7.63,2.30,1.00,9.07,-1.92,1.00,9.55,0.74,1.00,10.63,-2.29,1.00,9.92
1,8,8,13.66,1.00,23.58,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.25,42.91,19.76,1.00,103.17,1.00,11.50,8.03,0.27,1.00,11.23,-0.39,1.00,8.42,-0.03,1.00,11.53,-0.39,1.00,8.42
1,9,9,7.87,1.00,22.38,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.68,42.91,4.80,1.00,63.12,1.00,10.90,7.67,0.08,1.00,10.82,-2.12,1.00,9.79,-0.69,1.00,11.59,-2.34,1.00,10.01
1,10,10,11.49,1.00,22.75,1.00,-9999.00,-9999.00,-9999.00,-9999.00,7.11,45.20,13.06,1.00,86.12,1.00,11.16,8.02,-0.48,1.00,11.65,-1.70,1.00,9.72,-2.44,1.00,13.61,-4.56,1.00,12.58
1,11,11,4.45,1.00,21.30,1.00,-9999.00,-9999.00,-9999.00,-9999.00,18.92,45.84,-1.82,1.00,28.14,1.00,10.40,7.57,5.13,1.00,5.26,-1.36,1.00,8.93,4.86,1.00,5.54,-1.58,1.00,9.16
1,12,12,10.27,1.00,22.19,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.10,45.36,3.45,1.00,75.27,1.00,10.74,8.12,1.26,1.00,9.48,0.97,1.00,7.14,1.23,1.00,9.50,1.00,1.00,7.12
1,13,13,10.62,1.00,22.10,1.00,-9999.00,-9999.00,-9999.00,-9999.00,9.21,45.15,4.49,1.00,80.79,1.00,11.31,8.13,0.65,1.00,10.66,-1.00,1.00,9.13,0.56,1.00,10.75,-1.00,1.00,9.13
1,14,14,11.05,1.00,21.79,1.00,-9999.00,-9999.00,-9999.00,-9999.00,5.33,45.45,14.21,1.00,74.72,1.00,11.16,8.36,1.22,1.00,9.94,-1.09,1.00,9.44,0.38,1.00,10.78,-0.97,1.00,9.32
1,15,15,15.04,1.00,23.21,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.32,45.34,17.87,1.00,106.27,1.00,12.04,9.11,-0.24,1.00,12.28,-1.13,1.00,10.24,-0.79,1.00,12.83,-1.13,1.00,10.24
1,16,16,14.21,1.00,22.97,1.00,-9999.00,-9999.00,-9999.00,-9999.00,9.65,45.55,15.44,1.00,99.02,1.00,11.86,8.99,-1.29,1.00,13.16,-3.36,1.00,12.34,-3.01,1.00,14.88,-4.84,1.00,13.83
