Month,Day,Hour,DoY,Rg_f,Rg_fqc,Ta_f,Ta_fqc,VPD_f,VPD_fqc,Ts_f,Ts_fqc,Precip,SWC,H_f,H_fqc,LE_f,LE_fqc,qf_NEE_st,qf_NEE_or,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNqc,GPP_or_ANN
1,1,0.5,1.021,0.00,2,24.82,2,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,9.18,2,-13.53,2,99,99,13.441,8.179,8.847,3,4.594,3.016,2,5.163,8.847,3,4.594,3.016,3,5.163
1,1,1.0,1.042,0.00,2,24.69,2,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,8.81,2,-12.86,2,99,99,13.352,8.134,14.345,2,-0.993,5.170,2,2.965,14.345,3,-0.993,5.170,3,2.965
1,1,1.5,1.063,0.00,2,24.45,2,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,7.60,2,-11.71,2,99,99,13.193,8.055,17.549,2,-4.356,6.193,2,1.862,17.549,3,-4.356,6.193,3,1.862
1,1,2.0,1.083,0.00,2,24.31,2,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,6.58,2,-8.72,2,99,99,13.100,8.008,17.549,2,-4.449,-3.813,2,11.822,17.549,3,-4.449,-3.813,3,11.822
1,1,2.5,1.104,0.00,2,24.32,2,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,4.80,2,-4.28,2,99,99,13.107,8.012,17.549,2,-4.442,2.275,2,5.737,17.549,3,-4.442,2.275,3,5.737
1,1,3.0,1.125,0.00,2,24.17,2,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,1.34,2,0.73,2,99,99,13.011,7.964,22.342,2,-9.331,3.809,2,4.154,22.342,3,-9.331,3.809,3,4.154
1,1,3.5,1.146,0.00,2,23.76,2,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,-0.67,2,4.37,2,99,99,12.741,7.828,17.004,3,-4.263,3.522,2,4.306,17.004,3,-4.263,3.522,3,4.306
1,1,4.0,1.167,0.18,2,23.27,2,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,0.96,2,4.59,2,99,99,12.419,7.666,11.133,3,1.286,6.909,2,0.757,11.133,3,1.286,6.909,3,0.757
1,1,4.5,1.188,0.55,2,22.64,2,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,-4.00,3,4.13,3,99,99,12.019,7.463,10.195,3,1.824,8.791,2,-1.328,10.195,3,1.824,8.791,3,-1.328
1,1,5.0,1.208,1.49,2,21.94,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,-6.40,3,3.63,3,99,99,11.572,7.235,8.628,3,2.944,7.554,2,-0.319,8.628,3,2.944,7.554,3,-0.319
1,1,5.5,1.229,2.99,2,21.45,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,-3.81,3,7.03,3,99,99,11.272,7.081,9.250,3,2.022,6.841,2,0.240,9.250,3,2.022,6.841,3,0.240
1,1,6.0,1.250,4.82,2,21.25,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,-2.41,3,17.76,3,99,99,11.145,7.016,11.210,3,-0.065,7.286,2,-0.270,11.210,3,-0.065,7.286,3,-0.270
1,1,6.5,1.271,6.81,2,21.14,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,4.33,3,51.52,3,99,99,11.079,6.982,5.442,3,5.637,6.751,2,0.231,5.442,3,5.637,6.751,3,0.231
1,1,7.0,1.292,17.93,2,21.13,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,31.10,2,136.19,2,99,99,11.072,6.978,-7.395,3,18.467,3.240,2,3.739,-7.395,3,18.467,3.240,3,3.739
1,1,7.5,1.313,37.79,2,21.17,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,33.76,2,146.16,2,99,99,11.098,6.992,-15.065,2,26.163,-1.632,2,8.623,-15.065,3,26.163,-1.632,3,8.623
1,1,8.0,1.333,62.69,2,21.29,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,34.66,2,156.52,2,99,99,11.175,7.031,-13.336,2,24.511,-7.288,2,14.319,-13.336,3,24.511,-7.288,3,14.319
1,1,8.5,1.354,92.84,2,21.45,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,34.85,2,167.04,2,99,99,11.270,7.080,-12.359,2,23.629,-14.364,2,21.444,-12.359,3,23.629,-14.364,3,21.444
1,1,9.0,1.375,130.56,2,21.64,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,43.19,2,190.28,2,99,99,11.387,7.140,-14.015,2,25.402,-21.605,2,28.745,-14.015,3,25.402,-21.605,3,28.745
1,1,9.5,1.396,166.88,2,21.86,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,57.36,2,216.20,2,99,99,11.527,7.212,-16.496,2,28.023,-27.016,2,34.228,-16.496,3,28.023,-27.016,3,34.228
1,1,10.0,1.417,205.68,2,22.12,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,79.02,2,239.59,2,99,99,11.688,7.294,-18.547,2,30.234,-29.040,2,36.335,-18.547,3,30.234,-29.040,3,36.335
1,1,10.5,1.438,250.68,2,22.38,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,109.57,2,260.15,2,99,99,11.851,7.378,-22.308,2,34.159,-28.253,2,35.631,-22.308,3,34.159,-28.253,3,35.631
1,1,11.0,1.458,274.92,2,22.62,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,134.13,2,293.45,2,99,99,12.005,7.456,-23.644,2,35.649,-25.130,2,32.586,-23.644,3,35.649,-25.130,3,32.586
1,1,11.5,1.479,276.08,2,22.84,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,122.28,2,299.40,2,99,99,12.147,7.528,-12.130,2,24.277,-20.926,2,28.454,-12.130,3,24.277,-20.926,3,28.454
1,1,12.0,1.500,284.70,2,23.06,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,18.93,2,161.64,2,99,99,12.283,7.597,-13.717,2,26.000,-17.375,2,24.972,-13.717,3,26.000,-17.375,3,24.972
1,1,12.5,1.521,296.88,2,23.26,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,31.49,2,212.67,2,99,99,12.415,7.664,-15.887,2,28.302,-16.036,2,23.700,-15.887,3,28.302,-16.036,3,23.700
1,1,13.0,1.542,305.64,2,23.52,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,38.07,2,227.33,2,99,99,12.579,7.747,-16.602,2,29.182,-15.514,2,23.261,-16.602,3,29.182,-15.514,3,23.261
1,1,13.5,1.563,337.97,2,23.84,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,42.26,2,227.44,2,99,99,12.789,7.852,-17.328,2,30.116,-15.332,2,23.184,-17.328,3,30.116,-15.332,3,23.184
1,1,14.0,1.583,378.34,2,24.17,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,51.91,2,268.83,2,99,99,13.008,7.963,-18.759,2,31.767,-16.752,2,24.715,-18.759,3,31.767,-16.752,3,24.715
1,1,14.5,1.604,396.24,2,24.51,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,55.65,2,307.72,2,99,99,13.232,8.074,-19.561,2,32.793,-18.039,2,26.113,-19.561,3,32.793,-18.039,3,26.113
1,1,15.0,1.625,384.18,2,24.82,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,51.39,2,298.39,2,99,99,13.437,8.177,-18.006,2,31.443,-16.829,2,25.006,-18.006,3,31.443,-16.829,3,25.006
1,1,15.5,1.646,349.16,2,25.04,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,43.92,2,269.91,2,99,99,13.583,8.249,-15.779,2,29.362,-14.518,2,22.768,-15.779,3,29.362,-14.518,3,22.768
1,1,16.0,1.667,288.11,2,25.14,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,34.42,2,238.12,2,99,99,13.652,8.284,-15.460,2,29.112,-12.156,2,20.440,-15.460,3,29.112,-12.156,3,20.440
1,1,16.5,1.688,216.55,2,25.18,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,24.01,2,176.40,2,99,99,13.679,8.297,-14.618,2,28.297,-8.482,2,16.779,-14.618,3,28.297,-8.482,3,16.779
1,1,17.0,1.708,147.18,2,25.14,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,14.23,2,95.93,2,99,99,13.653,8.284,-11.476,2,25.129,-5.201,2,13.485,-11.476,3,25.129,-5.201,3,13.485
1,1,17.5,1.729,87.45,2,25.06,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,7.18,2,42.47,2,99,99,13.598,8.257,-8.730,2,22.328,-2.446,2,10.702,-8.730,3,22.328,-2.446,3,10.702
1,1,18.0,1.750,42.32,2,24.94,2,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,2.91,2,16.36,2,99,99,13.519,8.217,-5.700,2,19.219,-1.004,2,9.221,-5.700,3,19.219,-1.004,3,9.221
1,1,18.5,1.771,14.81,2,24.81,2,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,0.25,2,1.76,2,99,99,13.435,8.176,7.921,3,5.514,3.150,2,5.025,7.921,3,5.514,3.150,3,5.025
1,1,19.0,1.792,4.94,2,24.62,2,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,-2.37,2,0.11,2,99,99,13.307,8.112,10.029,3,3.277,9.795,3,-1.683,10.029,3,3.277,9.795,3,-1.683
1,1,19.5,1.813,0.00,2,24.35,2,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,-6.51,2,0.21,2,99,99,13.128,8.022,7.792,3,5.336,8.544,3,-0.521,7.792,3,5.336,8.544,3,-0.521
1,1,20.0,1.833,0.00,2,24.17,2,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,-9.89,2,2.41,2,99,99,13.006,7.961,8.186,3,4.820,8.105,2,-0.144,8.186,3,4.820,8.105,3,-0.144
