Period,n_days,Rg_f,Rg_sqc,Ta_f,Ta_sqc,VPD_f,VPD_sqc,Ts_f,Ts_sqc,Precip,SWC,H_f,H_sqc,LE_f,LE_sqc,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSsqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSsqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNsqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNsqc,GPP_or_ANN
1,8,14.65,1.00,25.52,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.81,43.24,37.10,1.00,80.15,1.00,7.04,4.79,-0.33,1.00,7.37,-1.10,1.00,5.89,-0.31,1.00,7.35,-1.67,1.00,6.45
2,8,12.68,1.00,25.22,1.00,-9999.00,-9999.00,-9999.00,-9999.00,10.76,45.38,26.01,1.00,82.51,1.00,10.96,7.13,2.95,1.00,8.01,0.63,1.00,6.50,0.92,1.00,10.04,0.18,1.00,6.95
3,8,15.39,1.00,25.63,1.00,-9999.00,-9999.00,-9999.00,-9999.00,9.43,45.49,30.25,1.00,89.58,1.00,13.89,7.06,3.97,1.00,9.91,0.11,1.00,6.95,2.04,1.00,11.85,0.16,1.00,6.90
4,8,16.10,1.00,26.24,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.22,44.27,25.93,1.00,97.07,1.00,10.62,8.07,1.48,1.00,9.14,0.45,1.00,7.62,1.15,1.00,9.47,0.27,1.00,7.80
5,8,17.12,1.00,25.93,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.58,44.86,29.13,1.00,108.45,1.00,9.96,7.53,0.80,1.00,9.16,-0.40,1.00,7.93,0.86,1.00,9.10,-0.47,1.00,8.00
6,8,14.82,1.00,25.01,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.94,45.29,24.80,1.00,95.45,1.00,11.74,8.98,1.51,1.00,10.23,0.10,1.00,8.89,1.21,1.00,10.53,-0.04,1.00,9.02
7,8,17.99,1.00,26.20,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.97,45.71,32.83,1.00,109.07,1.00,14.29,9.40,2.76,1.00,11.53,0.89,1.00,8.51,1.71,1.00,12.58,0.60,1.00,8.80
8,8,14.09,1.00,25.09,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.71,44.24,18.26,1.00,87.28,1.00,11.11,8.86,1.83,1.00,9.28,0.34,1.00,8.51,1.24,1.00,9.86,0.23,1.00,8.63
9,8,15.57,1.00,25.06,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.89,45.41,25.84,1.00,101.84,1.00,10.85,8.87,1.51,1.00,9.34,0.40,1.00,8.47,1.72,1.00,9.13,0.43,1.00,8.44
10,8,16.67,1.00,25.23,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.91,45.06,27.86,1.00,109.24,1.00,12.08,9.40,2.00,1.00,10.08,0.57,1.00,8.83,1.77,1.00,10.31,0.54,1.00,8.87
11,8,14.00,1.00,24.55,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.92,45.74,16.46,1.00,92.01,1.00,12.47,9.41,1.34,1.00,11.13,-0.20,1.00,9.61,1.31,1.00,11.16,-0.22,1.00,9.63
12,8,12.22,1.00,24.24,1.00,-9999.00,-9999.00,-9999.00,-9999.00,8.92,46.14,13.90,1.00,79.22,1.00,12.23,9.21,3.05,1.00,9.18,0.80,1.00,8.41,2.88,1.00,9.35,0.86,1.00,8.35
13,8,17.13,1.00,24.89,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.30,45.74,28.78,1.00,99.00,1.00,13.76,9.41,1.95,1.00,11.81,0.26,1.00,9.15,1.28,1.00,12.48,0.07,1.00,9.34
14,8,14.88,1.00,24.64,1.00,-9999.00,-9999.00,-9999.00,-9999.00,9.79,45.91,17.26,1.00,87.77,1.00,11.72,9.14,2.44,1.00,9.28,1.62,1.00,7.52,2.41,1.00,9.32,1.43,1.00,7.71
15,8,13.30,1.00,24.91,1.00,-9999.00,-9999.00,-9999.00,-9999.00,6.36,45.69,18.21,1.00,89.79,1.00,9.61,8.00,0.94,1.00,8.66,-0.18,1.00,8.18,0.61,1.00,9.00,-0.19,1.00,8.19
