Month,n_days,Rg_f,Rg_sqc,Ta_f,Ta_sqc,VPD_f,VPD_sqc,Ts_f,Ts_sqc,Precip,SWC,H_f,H_sqc,LE_f,LE_sqc,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSsqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSsqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNsqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNsqc,GPP_or_ANN
1,31,15.42,1.00,26.01,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.38,39.81,20.38,1.00,96.81,1.00,6.71,6.11,-0.98,0.99,7.69,-1.15,0.99,7.26,-1.32,1.00,8.03,-1.27,1.00,7.38
2,28,12.92,1.00,24.14,1.00,-9999.00,-9999.00,-9999.00,-9999.00,6.27,44.07,13.86,1.00,86.08,1.00,10.35,8.63,0.72,1.00,9.63,-0.01,1.00,8.63,0.30,1.00,10.06,-0.16,1.00,8.78
3,31,14.64,1.00,24.00,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.49,44.74,18.91,1.00,94.87,1.00,9.82,8.26,-0.09,1.00,9.90,-0.96,1.00,9.22,-0.40,1.00,10.21,-1.02,1.00,9.28
4,30,15.31,1.00,24.48,1.00,-9999.00,-9999.00,-9999.00,-9999.00,6.76,44.98,18.98,1.00,87.63,1.00,8.09,6.51,0.51,1.00,7.58,-0.81,1.00,7.31,0.52,1.00,7.57,-1.04,1.00,7.54
5,31,15.36,1.00,25.01,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.83,44.82,17.35,1.00,107.42,1.00,6.57,5.65,1.29,1.00,5.28,-0.81,1.00,6.46,1.34,1.00,5.23,-0.77,1.00,6.43
6,30,15.57,1.00,24.83,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.52,44.53,19.38,1.00,91.13,1.00,6.86,6.24,0.70,1.00,6.15,-0.00,1.00,6.24,0.87,1.00,5.99,-0.06,1.00,6.30
7,31,18.31,1.00,25.92,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.91,42.90,24.39,1.00,111.23,1.00,4.28,5.36,-0.17,1.00,4.46,-0.09,1.00,5.45,0.28,1.00,4.00,-0.20,1.00,5.56
8,31,18.39,1.00,25.88,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.06,43.41,26.78,1.00,113.82,1.00,4.59,5.40,-1.21,1.00,5.79,-0.96,1.00,6.36,-0.71,1.00,5.30,-1.16,1.00,6.56
9,30,18.84,1.00,26.62,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.60,38.56,27.69,1.00,125.50,1.00,5.03,5.17,-2.46,1.00,7.49,-2.65,1.00,7.82,-2.04,1.00,7.07,-2.37,1.00,7.54
10,31,17.33,1.00,26.68,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.00,40.87,21.31,1.00,116.79,1.00,6.14,5.31,-2.55,1.00,8.68,-3.19,1.00,8.49,-2.58,1.00,8.72,-3.24,1.00,8.55
11,30,15.39,1.00,26.01,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.17,39.74,20.29,1.00,106.31,1.00,4.69,4.96,-2.31,0.84,7.00,-2.94,0.84,7.90,-2.05,1.00,6.74,-3.77,1.00,8.73
12,31,15.21,1.00,26.03,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.88,40.78,18.67,0.99,115.49,0.99,5.93,5.04,-2.43,0.99,8.36,-2.99,0.99,8.03,-2.50,1.00,8.43,-3.45,1.00,8.49
