"JSBACH" "Observed" "Units"
"PPFD" "274.161874531681" "229.179810926127" "umol/m^2s"
"Rn" "68.4043508273809" "56.7452000138835" "W/m^2"
"Qh" "28.7885217300435" "11.7292733032055" "W/m^2"
"Qle" "39.0973136499415" "21.1585990343677" "W/m^2"
"gscan" "0.00355698597040203" "0.00813918991592074" "m/s"
"GPP" "2.87013113617905" "3.94883539709435" "umol/m^2s"
"Reco" "2.87409546153906" "2.672223771192" "umol/m^2s"
"NEE" "0.003964325360009" "-1.27661162659283" "umol/m^2s"
"fapar" "0.465560185849854" "0.437642477495108" "-"
"vegC" "8715.02628214212" NA "gC/m2"
"litterC" "4960.49279700765" NA "gC/m2"
"soilC" "23528.6738184702" NA "gC/m2"
