Network,Country,Id,Name,Latitude,Longitude,IGBP,Climate,Add. Network
AmeriFlux,Brazil,BR-Sa3,Santarem-Km83-Logged Forest,-3.01803,-54.9714,EBF,Am,Unknown
AmeriFlux,Canada,CA-NS1,UCI-1850 burn site,55.8792,-98.4839,ENF,Dfc,Unknown
AmeriFlux,Canada,CA-NS2,UCI-1930 burn site,55.9058,-98.5247,ENF,Dfc,Unknown
AmeriFlux,Canada,CA-NS3,UCI-1964 burn site,55.9117,-98.3822,ENF,Dfc,Unknown
AmeriFlux,Canada,CA-NS4,UCI-1964 burn site wet,55.9117,-98.3822,ENF,Dfc,Unknown
AmeriFlux,Canada,CA-NS5,UCI-1981 burn site,55.8631,-98.485,ENF,Dfc,Unknown
AmeriFlux,Canada,CA-NS6,UCI-1989 burn site,55.9167,-98.9644,OSH,Dfc,Unknown
AmeriFlux,Canada,CA-NS7,UCI-1998 burn site,56.6358,-99.9483,OSH,Dfc,Unknown
AmeriFlux,USA,US-ARb,OK - ARM Southern Great Plains burn site- Lamont,35.5497,-98.0402,GRA,Cfa,Unknown
AmeriFlux,USA,US-ARc,OK - ARM Southern Great Plains control site- Lamont,35.54649,-98.04,GRA,Cfa,Unknown
AmeriFlux,USA,US-ARM,OK - ARM Southern Great Plains site- Lamont,36.6058,-97.4888,CRO,Cfa,Unknown
AmeriFlux,USA,US-Atq,AK - Atqasuk,70.4696,-157.409,WET,ET,Unknown
AmeriFlux,USA,US-Aud,AZ - Audubon Research Ranch,31.5907,-110.51,GRA,BSk,Unknown
AmeriFlux,USA,US-Bar,NH - Bartlett Experimental Forest,44.0646,-71.28808,DBF,Dfb,Unknown
AmeriFlux,USA,US-Bkg,SD - Brookings,44.3453,-96.8362,GRA,Dfa,Unknown
AmeriFlux,USA,US-Blo,CA - Blodgett Forest,38.8952,-120.6328,ENF,Csa,Unknown
AmeriFlux,USA,US-Bo1,IL - Bondville,40.0062,-88.2904,CRO,Dfa,Unknown
AmeriFlux,USA,US-Bo2,IL - Bondville (companion site),40.009,-88.29,CRO,Dfa,Unknown
AmeriFlux,USA,US-Brw,AK - Barrow,71.3225,-156.6259,WET,ET,Unknown
AmeriFlux,USA,US-CaV,WV - Canaan Valley,39.0633,-79.4208,GRA,Cfb,Unknown
AmeriFlux,USA,US-Dk1,NC - Duke Forest-open field,35.9712,-79.0934,GRA,Cfa,Unknown
AmeriFlux,USA,US-Dk2,NC - Duke Forest-hardwoods,35.9736,-79.1004,DBF,Cfa,Unknown
AmeriFlux,USA,US-Dk3,NC - Duke Forest - loblolly pine,35.9782,-79.0942,ENF,Cfa,Unknown
AmeriFlux,USA,US-Fmf,AZ - Flagstaff - Managed Forest,35.1426,-111.7273,ENF,Csb,Unknown
AmeriFlux,USA,US-FPe,MT - Fort Peck,48.3077,-105.1019,GRA,BSk,Unknown
AmeriFlux,USA,US-FR2,TX - Freeman Ranch- Mesquite Juniper,29.9495,-97.9962,WSA,Cfa,Unknown
AmeriFlux,USA,US-Fuf,AZ - Flagstaff - Unmanaged Forest,35.089,-111.762,ENF,Csb,Unknown
AmeriFlux,USA,US-Fwf,AZ - Flagstaff - Wildfire,35.4454,-111.7718,GRA,Csb,Unknown
AmeriFlux,USA,US-Goo,MS - Goodwin Creek,34.2547,-89.8735,GRA,Cfa,Unknown
AmeriFlux,USA,US-Ha1,MA - Harvard Forest EMS Tower (HFR1),42.5378,-72.1715,DBF,Dfb,Unknown
AmeriFlux,USA,US-Ha2,MA - Harvard Forest Hemlock Site,42.5393,-72.1779,ENF,Dfb,Unknown
AmeriFlux,USA,US-Ho1,ME - Howland Forest (main tower),45.2041,-68.7402,ENF,Dfb,Unknown
AmeriFlux,USA,US-Ho2,ME - Howland Forest (west tower),45.2091,-68.747,ENF,Dfb,Unknown
AmeriFlux,USA,US-IB1,IL - Fermi National Accelerator Laboratory- Batavia (Agricultural site),41.8593,-88.2227,CRO,Dfa,Unknown
AmeriFlux,USA,US-IB2,IL - Fermi National Accelerator Laboratory- Batavia (Prairie site),41.8406,-88.241,GRA,Dfa,Unknown
AmeriFlux,USA,US-Ivo,AK - Ivotuk,68.4865,-155.75,WET,ET,Unknown
AmeriFlux,USA,US-KS1,FL - Kennedy Space Center (slash pine),28.4583,-80.6709,ENF,Cfa,Unknown
AmeriFlux,USA,US-KS2,FL - Kennedy Space Center (scrub oak),28.6086,-80.6715,CSH,Cfa,Unknown
AmeriFlux,USA,US-Los,WI - Lost Creek,46.0827,-89.9792,CSH,Dfb,Unknown
AmeriFlux,USA,US-LPH,MA - Little Prospect Hill,42.5419,-72.185,DBF,Dfb,Unknown
AmeriFlux,USA,US-Me1,OR - Metolius - Eyerly burn,44.5794,-121.5,ENF,Csb,Unknown
AmeriFlux,USA,US-Me2,OR - Metolius-intermediate aged ponderosa pine,44.4523,-121.5574,ENF,Csb,Unknown
AmeriFlux,USA,US-Me3,OR - Metolius-second young aged pine,44.3154,-121.6078,ENF,Csb,Unknown
AmeriFlux,USA,US-Me4,OR - Metolius-old aged ponderosa pine,44.4992,-121.6224,ENF,Csb,Unknown
AmeriFlux,USA,US-MMS,IN - Morgan Monroe State Forest,39.3231,-86.4131,DBF,Cfa,Unknown
AmeriFlux,USA,US-MOz,MO - Missouri Ozark Site,38.7441,-92.2,DBF,Cfa,Unknown
AmeriFlux,USA,US-NC1,NC - NC_Clearcut,35.8115,-76.7115,OSH,Cfa,Unknown
AmeriFlux,USA,US-NC2,NC - NC_Loblolly Plantation,35.8031,-76.6679,ENF,Cfa,Unknown
AmeriFlux,USA,US-Ne1,NE - Mead - irrigated continuous maize site,41.1651,-96.4766,CRO,Dfa,Unknown
AmeriFlux,USA,US-Ne2,NE - Mead - irrigated maize-soybean rotation site,41.1649,-96.4701,CRO,Dfa,Unknown
AmeriFlux,USA,US-Ne3,NE - Mead - rainfed maize-soybean rotation site,41.1797,-96.4397,CRO,Dfa,Unknown
AmeriFlux,USA,US-NR1,CO - Niwot Ridge Forest (LTER NWT1),40.0329,-105.546,ENF,Dfc,Unknown
AmeriFlux,USA,US-Oho,OH - Oak Openings,41.5545,-83.8438,DBF,Dfa,Unknown
AmeriFlux,USA,US-PFa,WI - Park Falls/WLEF,45.9459,-90.2723,MF,Dfb,Unknown
AmeriFlux,USA,US-SO2,CA - Sky Oaks- Old Stand,33.3739,-116.6229,CSH,Csa,Unknown
AmeriFlux,USA,US-SO3,CA - Sky Oaks- Young Stand,33.3772,-116.6227,CSH,Csa,Unknown
AmeriFlux,USA,US-SO4,CA - Sky Oaks- New Stand,33.3844,-116.6403,CSH,Csa,Unknown
AmeriFlux,USA,US-SP1,FL - Slashpine-Austin Cary- 65yrs nat regen,29.7381,-82.2188,ENF,Cfa,Unknown
AmeriFlux,USA,US-SP2,"FL - Slashpine-Mize-clearcut-3yr,regen",29.7648,-82.2448,ENF,Cfa,Unknown
AmeriFlux,USA,US-SP3,FL - Slashpine-Donaldson-mid-rot- 12yrs,29.7548,-82.1633,ENF,Cfa,Unknown
AmeriFlux,USA,US-SP4,FL - Slashpine-Rayonier-mid-rot- 12yrs,29.8028,-82.2031,ENF,Cfa,Unknown
